Warning (-17893): Unknown script language	[MsgId: MWAR-17893]
Virtual User Script started at : 20-Mar-17 9:38:29 AM	[MsgId: MMSG-15967]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Starting action Login.	[MsgId: MMSG-15919]
WpfWindow("HPE MyFlight Sample Applicatio").WpfEdit("agentName"). "john"	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfEdit("password"). "hp"	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfButton("OK")	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio")	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfObject("John Smith") - Checkpoint passed.	[MsgId: MMSG-23001]
Ending action Login.	[MsgId: MMSG-15918]
Starting action SearchFlight.	[MsgId: MMSG-15919]
WpfWindow("HPE MyFlight Sample Applicatio").WpfComboBox("fromCity"). "San Francisco"	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfComboBox("toCity"). "Seattle"	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfImage("WpfImage_2"). 82, 56	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfButton("FIND FLIGHTS")	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfTable("flightsDataGrid"). 0, 0	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfButton("SELECT FLIGHT")	[MsgId: MMSG-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfObject("SFO") - Checkpoint passed.	[MsgId: MMSG-23001]
Error:  WpfWindow("HPE MyFlight Sample Applicatio").WpfObject("09:51") - Checkpoint failed. 06:15	[MsgId: MERR-23001]
WpfWindow("HPE MyFlight Sample Applicatio").WpfObject("09:51"). "name"	[MsgId: MMSG-23001]
Ending action SearchFlight.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Ending Vuser...	[MsgId: MMSG-15966]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser 0 (thread 7164), ended OK."	[MsgId: MMSG-10695]
